0;1718
1;4446
2;2031
3;4468
4;4447
5;1020
6;4026
7;1869
8;4024
9;3921
10;4022
11;4023
12;4020
13;3725
14;4436
15;1735
16;4029
17;592
18;2030
19;5982
20;4642
21;5980
22;5981
23;407
24;5985
25;344
26;345
27;346
28;347
29;340
30;341
31;342
32;343
33;3997
34;3996
35;3995
36;3994
37;348
38;3992
39;3991
40;3990
41;4686
42;4844
43;4687
44;4416
45;967
46;966
47;4685
48;960
49;512
50;961
51;594
52;4733
53;4730
54;4731
55;4736
56;962
57;2318
58;4735
59;2314
60;2315
61;2312
62;2313
63;2310
64;2311
65;5855
66;5856
67;5857
68;5852
69;5853
70;296
71;297
72;294
73;295
74;5858
75;4525
76;290
77;4846
78;3773
79;3772
80;3771
81;3680
82;3777
83;3776
84;3775
85;3774
86;4523
87;3779
88;4021
89;4834
90;4655
91;271
92;272
93;273
94;274
95;4650
96;4653
97;277
98;278
99;279
100;4836
101;4659
102;4658
103;4411
104;3163
105;1780
106;2146
107;1005
108;3953
109;4782
110;2268
111;2269
112;4028
113;2262
114;2263
115;2260
116;2261
117;2266
118;2267
119;2264
120;2265
121;2442
122;2443
123;2440
124;963
125;2446
126;2447
127;2444
128;1004
129;2448
130;2449
131;2103
132;108
133;109
134;4830
135;2102
136;102
137;103
138;100
139;1134
140;106
141;107
142;104
143;105
144;2046
145;2047
146;2044
147;2045
148;2042
149;2043
150;4815
151;4814
152;2107
153;4819
154;3198
155;2048
156;2106
157;4832
158;1373
159;2105
160;4144
161;2104
162;4978
163;3155
164;1199
165;2838
166;1364
167;3238
168;1372
169;1060
170;5116
171;4843
172;2836
173;4456
174;4142
175;2835
176;1784
177;4979
178;2360
179;3519
180;2834
181;3512
182;3511
183;3510
184;133
185;5297
186;2684
187;2685
188;2686
189;2687
190;2680
191;2681
192;2682
193;2683
194;1436
195;3999
196;5406
197;2738
198;1211
199;3998
200;1434
201;2739
202;99
203;98
204;3392
205;91
206;90
207;93
208;92
209;95
210;94
211;97
212;96
213;5182
214;5183
215;1621
216;5181
217;5186
218;1994
219;5184
220;5185
221;1999
222;1998
223;5188
224;1628
225;3209
226;3208
227;2869
228;3013
229;4526
230;188
231;2861
232;3696
233;559
234;558
235;1217
236;2867
237;555
238;1376
239;557
240;556
241;551
242;550
243;553
244;552
245;1438
246;4975
247;4848
248;5458
249;1198
250;3348
251;3349
252;1214
253;1191
254;3343
255;1193
256;1192
257;1195
258;5455
259;5456
260;5457
261;873
262;4976
263;1759
264;1758
265;1757
266;1756
267;1754
268;1753
269;1752
270;1751
271;1750
272;1177
273;1176
274;1175
275;1174
276;1173
277;1172
278;1171
279;1170
280;4251
281;4250
282;4253
283;4252
284;4255
285;4254
286;1179
287;1178
288;5533
289;5532
290;5531
291;5530
292;5537
293;5536
294;5535
295;5534
296;5539
297;5538
298;5636
299;1821
300;1285
301;1284
302;1287
303;1286
304;1281
305;1280
306;1283
307;1282
308;1003
309;879
310;1289
311;1241
312;5102
313;4970
314;1579
315;1578
316;689
317;1001
318;3431
